gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3038641639,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.618668,-4.676725,3/7/2019 0:00,3,7,2019,5212973
3038641635,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.268491,-3.399096,26/9/2014 0:00,26,9,2014,5212973
3038641623,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.755952,-2.542485,9/10/2013 0:00,9,10,2013,5212973
3038641587,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.948655,0.742472,18/10/2013 0:00,18,10,2013,5212973
3038641530,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.169102,-1.681734,3/7/2014 0:00,3,7,2014,5212973
3038641523,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.786572,-3.033465,22/6/2016 0:00,22,6,2016,5212973
3038641453,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.103486,0.014292,25/4/2019 0:00,25,4,2019,5212973
3038641431,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.502384,-0.482706,3/7/2012 0:00,3,7,2012,5212973
3038641406,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.597877,-4.406223,24/6/2015 0:00,24,6,2015,5212973
3038641387,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.312248,-1.955622,13/8/2013 0:00,13,8,2013,5212973
3038641369,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.728007,-1.898031,14/7/2014 0:00,14,7,2014,5212973
3038641276,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.790011,-1.954933,30/5/2018 0:00,30,5,2018,5212973
3038641275,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.484187,-4.063521,31/5/2013 0:00,31,5,2013,5212973
3038641141,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.652025,-2.734288,17/7/2013 0:00,17,7,2013,5212973
3038641136,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.739559,0.480305,2/9/2016 0:00,2,9,2016,5212973
3038641096,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.986426,-2.519038,24/9/2013 0:00,24,9,2013,5212973
3038641082,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.453234,-0.191803,27/6/2019 0:00,27,6,2019,5212973
3038641076,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.956809,0.006477,28/8/2012 0:00,28,8,2012,5212973
3038641064,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.854949,-2.162698,4/9/2012 0:00,4,9,2012,5212973
3038640965,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.84643,-2.147484,26/6/2013 0:00,26,6,2013,5212973
3038640916,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.546523,1.27936,9/5/2013 0:00,9,5,2013,5212973
3038640840,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.365991,-3.976226,8/8/2019 0:00,8,8,2019,5212973
